### list2 ###,,,,
id,type,wordfn,primefn,is_word
1,cognate,01_target.wav,01_related.wav,yes
2,cognate,02_target_n.wav,02_unrelated.wav,yes
3,cognate,03_target.wav,03_unrelated.wav,yes
4,cognate,04_target_n.wav,04_related.wav,yes
5,cognate,05_target.wav,05_related.wav,yes
6,cognate,06_target_n.wav,06_unrelated.wav,yes
7,cognate,07_target.wav,07_unrelated.wav,yes
8,cognate,08_target_n.wav,08_related.wav,yes
9,cognate,09_target.wav,09_related.wav,yes
10,cognate,10_target_n.wav,10_unrelated.wav,yes
11,cognate,11_target.wav,11_unrelated.wav,yes
12,cognate,12_target_n.wav,12_related.wav,yes
13,cognate,13_target.wav,13_related.wav,yes
14,cognate,14_target_n.wav,14_unrelated.wav,yes
15,cognate,15_target.wav,15_unrelated.wav,yes
16,cognate,16_target_n.wav,16_related.wav,yes
17,cognate,17_target.wav,17_related.wav,yes
18,cognate,18_target_n.wav,18_unrelated.wav,yes
19,cognate,19_target.wav,19_unrelated.wav,yes
20,cognate,20_target_n.wav,20_related.wav,yes
21,cognate,21_target.wav,21_related.wav,yes
22,cognate,22_target_n.wav,22_unrelated.wav,yes
23,cognate,23_target.wav,23_unrelated.wav,yes
24,cognate,24_target_n.wav,24_related.wav,yes
25,cognate,25_target.wav,25_related.wav,yes
26,cognate,26_target_n.wav,26_unrelated.wav,yes
27,cognate,27_target.wav,27_unrelated.wav,yes
28,cognate,28_target_n.wav,28_related.wav,yes
29,cognate,29_target.wav,29_related.wav,yes
30,cognate,30_target_n.wav,30_unrelated.wav,yes
31,cognate,31_target.wav,31_unrelated.wav,yes
32,cognate,32_target_n.wav,32_related.wav,yes
33,cognate,33_target.wav,33_related.wav,yes
34,cognate,34_target_n.wav,34_unrelated.wav,yes
35,cognate,35_target.wav,35_unrelated.wav,yes
36,cognate,36_target_n.wav,36_related.wav,yes
37,cognate,37_target.wav,37_related.wav,yes
38,cognate,38_target_n.wav,38_unrelated.wav,yes
39,cognate,39_target.wav,39_unrelated.wav,yes
40,cognate,40_target_n.wav,40_related.wav,yes
41,cognate,41_target.wav,41_related.wav,yes
42,cognate,42_target_n.wav,42_unrelated.wav,yes
43,cognate,43_target.wav,43_unrelated.wav,yes
44,cognate,44_target_n.wav,44_related.wav,yes
45,cognate,45_target.wav,45_related.wav,yes
46,cognate,46_target_n.wav,46_unrelated.wav,yes
47,cognate,47_target.wav,47_unrelated.wav,yes
48,cognate,48_target_n.wav,48_related.wav,yes
49,noncognate,49_target.wav,49_related.wav,yes
50,noncognate,50_target_n.wav,50_unrelated.wav,yes
51,noncognate,51_target.wav,51_unrelated.wav,yes
52,noncognate,52_target_n.wav,52_related.wav,yes
53,noncognate,53_target.wav,53_related.wav,yes
54,noncognate,54_target_n.wav,54_unrelated.wav,yes
55,noncognate,55_target.wav,55_unrelated.wav,yes
56,noncognate,56_target_n.wav,56_related.wav,yes
57,noncognate,57_target.wav,57_related.wav,yes
58,noncognate,58_target_n.wav,58_unrelated.wav,yes
59,noncognate,59_target.wav,59_unrelated.wav,yes
60,noncognate,60_target_n.wav,60_related.wav,yes
61,noncognate,61_target.wav,61_related.wav,yes
62,noncognate,62_target_n.wav,62_unrelated.wav,yes
63,noncognate,63_target.wav,63_unrelated.wav,yes
64,noncognate,64_target_n.wav,64_related.wav,yes
65,noncognate,65_target.wav,65_related.wav,yes
66,noncognate,66_target_n.wav,66_unrelated.wav,yes
67,noncognate,67_target.wav,67_unrelated.wav,yes
68,noncognate,68_target_n.wav,68_related.wav,yes
69,noncognate,69_target.wav,69_related.wav,yes
70,noncognate,70_target_n.wav,70_unrelated.wav,yes
71,noncognate,71_target.wav,71_unrelated.wav,yes
72,noncognate,72_target_n.wav,72_related.wav,yes
73,noncognate,73_target.wav,73_related.wav,yes
74,noncognate,74_target_n.wav,74_unrelated.wav,yes
75,noncognate,75_target.wav,75_unrelated.wav,yes
76,noncognate,76_target_n.wav,76_related.wav,yes
77,noncognate,77_target.wav,77_related.wav,yes
78,noncognate,78_target_n.wav,78_unrelated.wav,yes
79,noncognate,79_target.wav,79_unrelated.wav,yes
80,noncognate,80_target_n.wav,80_related.wav,yes
81,noncognate,81_target.wav,81_related.wav,yes
82,noncognate,82_target_n.wav,82_unrelated.wav,yes
83,noncognate,83_target.wav,83_unrelated.wav,yes
84,noncognate,84_target_n.wav,84_related.wav,yes
85,noncognate,85_target.wav,85_related.wav,yes
86,noncognate,86_target_n.wav,86_unrelated.wav,yes
87,noncognate,87_target.wav,87_unrelated.wav,yes
88,noncognate,88_target_n.wav,88_related.wav,yes
89,noncognate,89_target.wav,89_related.wav,yes
90,noncognate,90_target_n.wav,90_unrelated.wav,yes
91,noncognate,91_target.wav,91_unrelated.wav,yes
92,noncognate,92_target_n.wav,92_related.wav,yes
93,noncognate,93_target.wav,93_related.wav,yes
94,noncognate,94_target_n.wav,94_unrelated.wav,yes
95,noncognate,95_target.wav,95_unrelated.wav,yes
