### list3 ###,,,,
id,type,wordfn,primefn,is_word
1,cognate,01_target_n.wav,01_unrelated.wav,yes
2,cognate,02_target.wav,02_related.wav,yes
3,cognate,03_target_n.wav,03_related.wav,yes
4,cognate,04_target.wav,04_unrelated.wav,yes
5,cognate,05_target_n.wav,05_unrelated.wav,yes
6,cognate,06_target.wav,06_related.wav,yes
7,cognate,07_target_n.wav,07_related.wav,yes
8,cognate,08_target.wav,08_unrelated.wav,yes
9,cognate,09_target_n.wav,09_unrelated.wav,yes
10,cognate,10_target.wav,10_related.wav,yes
11,cognate,11_target_n.wav,11_related.wav,yes
12,cognate,12_target.wav,12_unrelated.wav,yes
13,cognate,13_target_n.wav,13_unrelated.wav,yes
14,cognate,14_target.wav,14_related.wav,yes
15,cognate,15_target_n.wav,15_related.wav,yes
16,cognate,16_target.wav,16_unrelated.wav,yes
17,cognate,17_target_n.wav,17_unrelated.wav,yes
18,cognate,18_target.wav,18_related.wav,yes
19,cognate,19_target_n.wav,19_related.wav,yes
20,cognate,20_target.wav,20_unrelated.wav,yes
21,cognate,21_target_n.wav,21_unrelated.wav,yes
22,cognate,22_target.wav,22_related.wav,yes
23,cognate,23_target_n.wav,23_related.wav,yes
24,cognate,24_target.wav,24_unrelated.wav,yes
25,cognate,25_target_n.wav,25_unrelated.wav,yes
26,cognate,26_target.wav,26_related.wav,yes
27,cognate,27_target_n.wav,27_related.wav,yes
28,cognate,28_target.wav,28_unrelated.wav,yes
29,cognate,29_target_n.wav,29_unrelated.wav,yes
30,cognate,30_target.wav,30_related.wav,yes
31,cognate,31_target_n.wav,31_related.wav,yes
32,cognate,32_target.wav,32_unrelated.wav,yes
33,cognate,33_target_n.wav,33_unrelated.wav,yes
34,cognate,34_target.wav,34_related.wav,yes
35,cognate,35_target_n.wav,35_related.wav,yes
36,cognate,36_target.wav,36_unrelated.wav,yes
37,cognate,37_target_n.wav,37_unrelated.wav,yes
38,cognate,38_target.wav,38_related.wav,yes
39,cognate,39_target_n.wav,39_related.wav,yes
40,cognate,40_target.wav,40_unrelated.wav,yes
41,cognate,41_target_n.wav,41_unrelated.wav,yes
42,cognate,42_target.wav,42_related.wav,yes
43,cognate,43_target_n.wav,43_related.wav,yes
44,cognate,44_target.wav,44_unrelated.wav,yes
45,cognate,45_target_n.wav,45_unrelated.wav,yes
46,cognate,46_target.wav,46_related.wav,yes
47,cognate,47_target_n.wav,47_related.wav,yes
48,cognate,48_target.wav,48_unrelated.wav,yes
49,noncognate,49_target_n.wav,49_unrelated.wav,yes
50,noncognate,50_target.wav,50_related.wav,yes
51,noncognate,51_target_n.wav,51_related.wav,yes
52,noncognate,52_target.wav,52_unrelated.wav,yes
53,noncognate,53_target_n.wav,53_unrelated.wav,yes
54,noncognate,54_target.wav,54_related.wav,yes
55,noncognate,55_target_n.wav,55_related.wav,yes
56,noncognate,56_target.wav,56_unrelated.wav,yes
57,noncognate,57_target_n.wav,57_unrelated.wav,yes
58,noncognate,58_target.wav,58_related.wav,yes
59,noncognate,59_target_n.wav,59_related.wav,yes
60,noncognate,60_target.wav,60_unrelated.wav,yes
61,noncognate,61_target_n.wav,61_unrelated.wav,yes
62,noncognate,62_target.wav,62_related.wav,yes
63,noncognate,63_target_n.wav,63_related.wav,yes
64,noncognate,64_target.wav,64_unrelated.wav,yes
65,noncognate,65_target_n.wav,65_unrelated.wav,yes
66,noncognate,66_target.wav,66_related.wav,yes
67,noncognate,67_target_n.wav,67_related.wav,yes
68,noncognate,68_target.wav,68_unrelated.wav,yes
69,noncognate,69_target_n.wav,69_unrelated.wav,yes
70,noncognate,70_target.wav,70_related.wav,yes
71,noncognate,71_target_n.wav,71_related.wav,yes
72,noncognate,72_target.wav,72_unrelated.wav,yes
73,noncognate,73_target_n.wav,73_unrelated.wav,yes
74,noncognate,74_target.wav,74_related.wav,yes
75,noncognate,75_target_n.wav,75_related.wav,yes
76,noncognate,76_target.wav,76_unrelated.wav,yes
77,noncognate,77_target_n.wav,77_unrelated.wav,yes
78,noncognate,78_target.wav,78_related.wav,yes
79,noncognate,79_target_n.wav,79_related.wav,yes
80,noncognate,80_target.wav,80_unrelated.wav,yes
81,noncognate,81_target_n.wav,81_unrelated.wav,yes
82,noncognate,82_target.wav,82_related.wav,yes
83,noncognate,83_target_n.wav,83_related.wav,yes
84,noncognate,84_target.wav,84_unrelated.wav,yes
85,noncognate,85_target_n.wav,85_unrelated.wav,yes
86,noncognate,86_target.wav,86_related.wav,yes
87,noncognate,87_target_n.wav,87_related.wav,yes
88,noncognate,88_target.wav,88_unrelated.wav,yes
89,noncognate,89_target_n.wav,89_unrelated.wav,yes
90,noncognate,90_target.wav,90_related.wav,yes
91,noncognate,91_target_n.wav,91_related.wav,yes
92,noncognate,92_target.wav,92_unrelated.wav,yes
93,noncognate,93_target_n.wav,93_unrelated.wav,yes
94,noncognate,94_target.wav,94_related.wav,yes
95,noncognate,95_target_n.wav,95_related.wav,yes
96,noncognate,96_target.wav,96_unrelated.wav,yes
97,pseudoword,97_target_n.wav,97_unrelated.wav,no
98,pseudoword,98_target.wav,98_related.wav,no
99,pseudoword,99_target_n.wav,99_related.wav,no
100,pseudoword,100_target.wav,100_unrelated.wav,no
101,pseudoword,101_target_n.wav,101_unrelated.wav,no
102,pseudoword,102_target.wav,102_related.wav,no
103,pseudoword,103_target_n.wav,103_related.wav,no
104,pseudoword,104_target.wav,104_unrelated.wav,no
105,pseudoword,105_target_n.wav,105_unrelated.wav,no
106,pseudoword,106_target.wav,106_related.wav,no
107,pseudoword,107_target_n.wav,107_related.wav,no
108,pseudoword,108_target.wav,108_unrelated.wav,no
109,pseudoword,109_target_n.wav,109_unrelated.wav,no
110,pseudoword,110_target.wav,110_related.wav,no
111,pseudoword,111_target_n.wav,111_related.wav,no
112,pseudoword,112_target.wav,112_unrelated.wav,no
113,pseudoword,113_target_n.wav,113_unrelated.wav,no
114,pseudoword,114_target.wav,114_related.wav,no
115,pseudoword,115_target_n.wav,115_related.wav,no
116,pseudoword,116_target.wav,116_unrelated.wav,no
117,pseudoword,117_target_n.wav,117_unrelated.wav,no
118,pseudoword,118_target.wav,118_related.wav,no
119,pseudoword,119_target_n.wav,119_related.wav,no
120,pseudoword,120_target.wav,120_unrelated.wav,no
121,pseudoword,121_target_n.wav,121_unrelated.wav,no
122,pseudoword,122_target.wav,122_related.wav,no
123,pseudoword,123_target_n.wav,123_related.wav,no
124,pseudoword,124_target.wav,124_unrelated.wav,no
125,pseudoword,125_target_n.wav,125_unrelated.wav,no
126,pseudoword,126_target.wav,126_related.wav,no
127,pseudoword,127_target_n.wav,127_related.wav,no
128,pseudoword,128_target.wav,128_unrelated.wav,no
129,pseudoword,129_target_n.wav,129_unrelated.wav,no
130,pseudoword,130_target.wav,130_related.wav,no
131,pseudoword,131_target_n.wav,131_related.wav,no
132,pseudoword,132_target.wav,132_unrelated.wav,no
133,pseudoword,133_target_n.wav,133_unrelated.wav,no
134,pseudoword,134_target.wav,134_related.wav,no
135,pseudoword,135_target_n.wav,135_related.wav,no
136,pseudoword,136_target.wav,136_unrelated.wav,no
137,pseudoword,137_target_n.wav,137_unrelated.wav,no
138,pseudoword,138_target.wav,138_related.wav,no
139,pseudoword,139_target_n.wav,139_related.wav,no
140,pseudoword,140_target.wav,140_unrelated.wav,no
141,pseudoword,141_target_n.wav,141_unrelated.wav,no
142,pseudoword,142_target.wav,142_related.wav,no
143,pseudoword,143_target_n.wav,143_related.wav,no
144,pseudoword,144_target.wav,144_unrelated.wav,no
145,pseudoword,145_target_n.wav,145_unrelated.wav,no
146,pseudoword,146_target.wav,146_related.wav,no
147,pseudoword,147_target_n.wav,147_related.wav,no
148,pseudoword,148_target.wav,148_unrelated.wav,no
149,pseudoword,149_target_n.wav,149_unrelated.wav,no
150,pseudoword,150_target.wav,150_related.wav,no
151,pseudoword,151_target_n.wav,151_related.wav,no
152,pseudoword,152_target.wav,152_unrelated.wav,no
153,pseudoword,153_target_n.wav,153_unrelated.wav,no
154,pseudoword,154_target.wav,154_related.wav,no
155,pseudoword,155_target_n.wav,155_related.wav,no
156,pseudoword,156_target.wav,156_unrelated.wav,no
157,pseudoword,157_target_n.wav,157_unrelated.wav,no
158,pseudoword,158_target.wav,158_related.wav,no
159,pseudoword,159_target_n.wav,159_related.wav,no
160,pseudoword,160_target.wav,160_unrelated.wav,no
161,pseudoword,161_target_n.wav,161_unrelated.wav,no
162,pseudoword,162_target.wav,162_related.wav,no
163,pseudoword,163_target_n.wav,163_related.wav,no
164,pseudoword,164_target.wav,164_unrelated.wav,no
165,pseudoword,165_target_n.wav,165_unrelated.wav,no
166,pseudoword,166_target.wav,166_related.wav,no
167,pseudoword,167_target_n.wav,167_related.wav,no
168,pseudoword,168_target.wav,168_unrelated.wav,no
169,pseudoword,169_target_n.wav,169_unrelated.wav,no
170,pseudoword,170_target.wav,170_related.wav,no
171,pseudoword,171_target_n.wav,171_related.wav,no
172,pseudoword,172_target.wav,172_unrelated.wav,no
173,pseudoword,173_target_n.wav,173_unrelated.wav,no
174,pseudoword,174_target.wav,174_related.wav,no
175,pseudoword,175_target_n.wav,175_related.wav,no
176,pseudoword,176_target.wav,176_unrelated.wav,no
177,pseudoword,177_target_n.wav,177_unrelated.wav,no
178,pseudoword,178_target.wav,178_related.wav,no
179,pseudoword,179_target_n.wav,179_related.wav,no
180,pseudoword,180_target.wav,180_unrelated.wav,no
181,pseudoword,181_target_n.wav,181_unrelated.wav,no
182,pseudoword,182_target.wav,182_related.wav,no
183,pseudoword,183_target_n.wav,183_related.wav,no
184,pseudoword,184_target.wav,184_unrelated.wav,no
185,pseudoword,185_target_n.wav,185_unrelated.wav,no
186,pseudoword,186_target.wav,186_related.wav,no
187,pseudoword,187_target_n.wav,187_related.wav,no
