### list4 ###;;;;;;
id;type;wordfn;primefn;is_word;noise;related
79;NON_COGNATE;79_target.wav;79_related.wav;true;0;1
80;NON_COGNATE;80_target_n.wav;80_unrelated.wav;true;1;0
81;NON_COGNATE;81_target.wav;81_unrelated.wav;true;0;0
82;NON_COGNATE;82_target_n.wav;82_related.wav;true;1;1
83;NON_COGNATE;83_target.wav;83_related.wav;true;0;1
84;NON_COGNATE;84_target_n.wav;84_unrelated.wav;true;1;0
85;NON_COGNATE;85_target.wav;85_unrelated.wav;true;0;0
86;NON_COGNATE;86_target_n.wav;86_related.wav;true;1;1
87;NON_COGNATE;87_target.wav;87_related.wav;true;0;1
88;NON_COGNATE;88_target_n.wav;88_unrelated.wav;true;1;0
89;NON_COGNATE;89_target.wav;89_unrelated.wav;true;0;0
90;NON_COGNATE;90_target_n.wav;90_related.wav;true;1;1
91;NON_COGNATE;91_target.wav;91_related.wav;true;0;1
92;NON_COGNATE;92_target_n.wav;92_unrelated.wav;true;1;0
93;NON_COGNATE;93_target.wav;93_unrelated.wav;true;0;0
94;NON_COGNATE;94_target_n.wav;94_related.wav;true;1;1
95;NON_COGNATE;95_target.wav;95_related.wav;true;0;1
96;NON_COGNATE;96_target_n.wav;96_unrelated.wav;true;1;0
97;PSEUDO_WORD;97_target.wav;97_unrelated.wav;false;0;0
98;PSEUDO_WORD;98_target_n.wav;98_related.wav;false;1;1
99;PSEUDO_WORD;99_target.wav;99_related.wav;false;0;1
100;PSEUDO_WORD;100_target_n.wav;100_unrelated.wav;false;1;0
101;PSEUDO_WORD;101_target.wav;101_unrelated.wav;false;0;0
102;PSEUDO_WORD;102_target_n.wav;102_related.wav;false;1;1
103;PSEUDO_WORD;103_target.wav;103_related.wav;false;0;1
104;PSEUDO_WORD;104_target_n.wav;104_unrelated.wav;false;1;0
105;PSEUDO_WORD;105_target.wav;105_unrelated.wav;false;0;0
106;PSEUDO_WORD;106_target_n.wav;106_related.wav;false;1;1
107;PSEUDO_WORD;107_target.wav;107_related.wav;false;0;1
108;PSEUDO_WORD;108_target_n.wav;108_unrelated.wav;false;1;0
109;PSEUDO_WORD;109_target.wav;109_unrelated.wav;false;0;0
110;PSEUDO_WORD;110_target_n.wav;110_related.wav;false;1;1
111;PSEUDO_WORD;111_target.wav;111_related.wav;false;0;1
112;PSEUDO_WORD;112_target_n.wav;112_unrelated.wav;false;1;0
113;PSEUDO_WORD;113_target.wav;113_unrelated.wav;false;0;0
114;PSEUDO_WORD;114_target_n.wav;114_related.wav;false;1;1
115;PSEUDO_WORD;115_target.wav;115_related.wav;false;0;1
116;PSEUDO_WORD;116_target_n.wav;116_unrelated.wav;false;1;0
117;PSEUDO_WORD;117_target.wav;117_unrelated.wav;false;0;0
118;PSEUDO_WORD;118_target_n.wav;118_related.wav;false;1;1
119;PSEUDO_WORD;119_target.wav;119_related.wav;false;0;1
