### list1 ###,,,,
id,type,wordfn,primefn,is_word
122,pseudoword,122_target.wav,122_unrelated.wav,no
123,pseudoword,123_target_n.wav,123_unrelated.wav,no
124,pseudoword,124_target.wav,124_related.wav,no
125,pseudoword,125_target_n.wav,125_related.wav,no
126,pseudoword,126_target.wav,126_unrelated.wav,no
127,pseudoword,127_target_n.wav,127_unrelated.wav,no
128,pseudoword,128_target.wav,128_related.wav,no
129,pseudoword,129_target_n.wav,129_related.wav,no
130,pseudoword,130_target.wav,130_unrelated.wav,no
131,pseudoword,131_target_n.wav,131_unrelated.wav,no
132,pseudoword,132_target.wav,132_related.wav,no
133,pseudoword,133_target_n.wav,133_related.wav,no
134,pseudoword,134_target.wav,134_unrelated.wav,no
135,pseudoword,135_target_n.wav,135_unrelated.wav,no
136,pseudoword,136_target.wav,136_related.wav,no
137,pseudoword,137_target_n.wav,137_related.wav,no
138,pseudoword,138_target.wav,138_unrelated.wav,no
139,pseudoword,139_target_n.wav,139_unrelated.wav,no
140,pseudoword,140_target.wav,140_related.wav,no
141,pseudoword,141_target_n.wav,141_related.wav,no
142,pseudoword,142_target.wav,142_unrelated.wav,no
143,pseudoword,143_target_n.wav,143_unrelated.wav,no
144,pseudoword,144_target.wav,144_related.wav,no
145,pseudoword,145_target_n.wav,145_related.wav,no
146,pseudoword,146_target.wav,146_unrelated.wav,no
147,pseudoword,147_target_n.wav,147_unrelated.wav,no
148,pseudoword,148_target.wav,148_related.wav,no
149,pseudoword,149_target_n.wav,149_related.wav,no
150,pseudoword,150_target.wav,150_unrelated.wav,no
151,pseudoword,151_target_n.wav,151_unrelated.wav,no
152,pseudoword,152_target.wav,152_related.wav,no
153,pseudoword,153_target_n.wav,153_related.wav,no
154,pseudoword,154_target.wav,154_unrelated.wav,no
155,pseudoword,155_target_n.wav,155_unrelated.wav,no
156,pseudoword,156_target.wav,156_related.wav,no
157,pseudoword,157_target_n.wav,157_related.wav,no
158,pseudoword,158_target.wav,158_unrelated.wav,no
159,pseudoword,159_target_n.wav,159_unrelated.wav,no
160,pseudoword,160_target.wav,160_related.wav,no
161,pseudoword,161_target_n.wav,161_related.wav,no
162,pseudoword,162_target.wav,162_unrelated.wav,no
163,pseudoword,163_target_n.wav,163_unrelated.wav,no
164,pseudoword,164_target.wav,164_related.wav,no
165,pseudoword,165_target_n.wav,165_related.wav,no
166,pseudoword,166_target.wav,166_unrelated.wav,no
167,pseudoword,167_target_n.wav,167_unrelated.wav,no
168,pseudoword,168_target.wav,168_related.wav,no
169,pseudoword,169_target_n.wav,169_related.wav,no
170,pseudoword,170_target.wav,170_unrelated.wav,no
171,pseudoword,171_target_n.wav,171_unrelated.wav,no
172,pseudoword,172_target.wav,172_related.wav,no
173,pseudoword,173_target_n.wav,173_related.wav,no
174,pseudoword,174_target.wav,174_unrelated.wav,no
175,pseudoword,175_target_n.wav,175_unrelated.wav,no
